,ori,ncic_agency_name,state_abbr,city_name
4392,GA0850200,MILNER PD,GA,MILNER
4393,GA0850300,GORDON JR COLLEGE DPS BARNESVILLE,GA,BARNESVILLE
4394,GA0860000,LANIER CO SO LAKELAND,GA,LAKELAND
4395,GA0860100,LAKELAND PD,GA,LAKELAND
4396,GA0860200,,GA,
4397,GA0870000,LAURENS CO SO DUBLIN,GA,DUBLIN
4398,GA0870100,DUBLIN PD,GA,DUBLIN
4399,GA0870200,EAST DUBLIN PD,GA,EAST DUBLIN
4400,GA0880000,LEE CO SO LEESBURG,GA,LEESBURG
4401,GA0880100,LEESBURG PD,GA,LEESBURG
4402,GA0880200,SMITHVILLE PD,GA,SMITHVILLE
4403,GA0890000,LIBERTY CO SO HINESVILLE,GA,HINESVILLE
4404,GA0890100,HINESVILLE PD,GA,HINESVILLE
4405,GA0890200,MIDWAY PD,GA,MIDWAY
4406,GA0890500,WALTHOURVILLE,GA,WALTHOURVILLE
4407,GA0900000,LINCOLN CO SO LINCOLNTON,GA,LINCOLNTON
4408,GA0900100,LINCOLNTON PD,GA,LINCOLNTON
4409,GA0910000,LONG CO SO LUDOWICI,GA,LUDOWICI
4410,GA0910100,LUDOWICI PD,GA,LUDOWICI
4411,GA0920000,LOWNDES CO SO VALDOSTA,GA,VALDOSTA
4412,GA0920100,VALDOSTA PD,GA,VALDOSTA
4413,GA0920200,HAHIRA PD,GA,HAHIRA
4414,GA0920300,LAKE PARK PD,GA,LAKE PARK
4415,GA0920400,REMERTON,GA,REMERTON
4416,GA0920500,VALDOSTA STATE UNIVERSITY PUBLIC SAFETY DIV,GA,VALDOSTA
4417,GA0930000,LUMPKIN CO SO DAHLONEGA,GA,DAHLONEGA
4418,GA0930100,DAHLONEGA POLICE DEPARTMENT,GA,DAHLONEGA
4419,GA0930200,NORTH GEORGIA COLL - DEPT PUB SAF DAHLONEGA,GA,DAHLONEGA
4420,GA0940000,MC DUFFIE CO SO THOMSON,GA,THOMSON
4421,GA0940100,THOMSON PD,GA,THOMSON
4422,GA0940200,GA DEPT NAT'L RESOURCES LE DIST OFF THOMSON,GA,THOMSON
4423,GA0950000,MCINTOSH CO SO DARIEN,GA,DARIEN
4424,GA0950100,DARIEN PD,GA,DARIEN
4425,GA0950200,,GA,DARIEN
4426,GA0960000,MACON CO SO OGLETHORPE,GA,OGLETHORPE
4427,GA0960100,MONTEZUMA PD,GA,MONTEZUMA
4428,GA0960200,IDEAL,GA,IDEAL
4429,GA0960300,MARSHALLVILLE,GA,MARSHALLVILLE
4430,GA0960400,OGLETHORPE PD,GA,OGLETHORPE
4431,GA0960500,MACON CO SCHOOL POLICE DEPT,GA,OGLETHORPE
4432,GA0970000,MADISON CO SO DANIELSVILLE,GA,DANIELSVILLE
4433,GA0970100,COLBERT PD,GA,COLBERT
4434,GA0970200,COMER,GA,COMER
4435,GA0970300,DANIELSVILLE PD,GA,DANIELSVILLE
4436,GA0970400,ILA PD,GA,DANIELSVILLE
4437,GA0980000,MARION CO SO BUENA VISTA,GA,BUENA VISTA
4438,GA0980100,BUENA VISTA PD,GA,BUENA VISTA
4439,GA0990000,MERIWETHER CO SO GREENVILLE,GA,GREENVILLE
4440,GA0990100,MANCHESTER PD,GA,MANCHESTER
4441,GA0990200,GREENVILLE PD,GA,GREENVILLE
4442,GA0990300,LUTHERSVILLE,GA,LUTHERSVILLE
4443,GA0990400,WOODBURY PD,GA,WOODBURY
4444,GA0990500,WARM SPRINGS PD,GA,WARM SPRINGS
4445,GA0990700,GA DEPT NAT'L RESOURCES LE DIST OFF MANCHESTER,GA,MANCHESTER
4446,GA0990800,,GA,
4447,GA1000000,MILLER CO SO COLQUITT,GA,COLQUITT
4448,GA1000100,COLQUITT PD,GA,COLQUITT
4449,GA1010000,MITCHELL CO SO CAMILLA,GA,CAMILLA
4450,GA1010100,CAMILLA PD,GA,CAMILLA
4451,GA1010300,PELHAM PD,GA,PELHAM
4452,GA1010400,SALE CITY,GA,SALE CITY
4453,GA1010500,SOUTHWEST GEORGIA DRUG TASK FORCE,GA,CAMILLA
4454,GA1020000,MONROE CO SO FORSYTH,GA,FORSYTH
4455,GA1020100,FORSYTH PD,GA,CUMMING
4456,GA1020200,CULLODEN PD,GA,CULLODEN
4457,GA1020300,GA PUB SAFETY TRAINING CTR SEC POLICE FORSYTH,GA,FORSYTH
4458,GA1020400,DEPT OF NAT RESOURCES LAW ENFORCE SECT FORSYTH,GA,FORSYTH
4459,GA1020500,GEORGIA DEPARTMENT OF NATURAL RESOURCES,GA,SOCIAL CIRCLE
4460,GA1030000,MONTGOMERY CO SO MT VERNON,GA,MT VERNON
4461,GA1030100,MOUNT VERNON PD,GA,MOUNT VERNON
4462,GA1030200,UVALDA PD,GA,UVALDA
4463,GA1030300,AILEY,GA,AILEY
4464,GA1040000,MORGAN CO SO MADISON,GA,MADISON
4465,GA1040100,MADISON PD,GA,MADISON
4466,GA1040200,RUTLEDGE,GA,RUTLEDGE
4467,GA1050000,MURRAY CO SO CHATSWORTH,GA,CHATSWORTH
4468,GA1050100,CHATSWORTH PD,GA,CHATSWORTH
4469,GA1050200,ETON PD,GA,ETON
4470,GA1060000,MUSCOGEE CO SO COLUMBUS,GA,COLUMBUS
4471,GA1060100,COLUMBUS PD,GA,COLUMBUS
4472,GA1060300,BIBB CITY PD COLUMBUS,GA,COLUMBUS
4473,GA1060400,COLUMBUS COLLEGE CAMPUS SAFETY SEC PD COLUMBUS,GA,COLUMBUS
4474,GA1060500,CITY MARSHAL COLUMBUS,GA,COLUMBUS
4475,GA1061900,,GA,
4476,GA1070000,NEWTON CO SO COVINGTON,GA,COVINGTON
4477,GA1070100,COVINGTON PD,GA,COVINGTON
4478,GA1070200,OXFORD PD,GA,OXFORD
4479,GA1070300,PORTERDALE PD,GA,PORTERDALE
4480,GA1070400,MANSFIELD PD,GA,MANSFIELD
4481,GA1080000,OCONEE CO SO WATKINSVILLE,GA,WATKINSVILLE
4482,GA1080100,WATKINSVILLE PD,GA,WATKINSVILLE
4483,GA1080200,BOGART PD,GA,WATKINSVILLE
4484,GA1090000,OGLETHORPE CO SO LEXINGTON,GA,LEXINGTON
4485,GA1100000,PAULDING CO SO DALLAS,GA,DALLAS
4486,GA1100100,DALLAS PD,GA,DALLAS
4487,GA1100200,HIRAM PD,GA,HIRAM
4488,GA1100300,,GA,
4489,GA1100400,BRASWELL POLICE DEPARTMENT BRASWELL,GA,ROCKMART
4490,GA1110000,PEACH CO SO FORT VALLEY,GA,FORT VALLEY
4491,GA1110100,FORT VALLEY PD,GA,FORT VALLEY
4492,GA1110200,BYRON PD,GA,BYRON
4493,GA1110300,FORT VALLEY STATE UNIVERSITY DPS,GA,FORT VALLEY
4494,GA1120000,PICKENS CO SO JASPER,GA,JASPER
4495,GA1120100,JASPER,GA,JASPER
4496,GA1120200,PICKENS CO PD JASPER,GA,JASPER
4497,GA1120300,PICKENS CO BOARD OF EDUCATION CAMPUS POLICE,GA,JASPER
4498,GA1130000,PIERCE CO SO BLACKSHEAR,GA,BLACKSHEAR
4499,GA1130100,BLACKSHEAR PD,GA,BLACKSHEAR
4500,GA1130200,PATTERSON PD,GA,PATTERSON
4501,GA1140000,PIKE CO SO ZEBULON,GA,ZEBULON
4502,GA1140100,ZEBULON PD,GA,ZEBULON
4503,GA1140200,CONCORD PD,GA,CONCORD
4504,GA1140300,MOLEMA PD,GA,MOLENA
4505,GA1150000,SO CEDARTOWN,GA,CEDARTOWN
4506,GA1150100,CEDARTOWN PD,GA,CEDARTOWN
4507,GA1150200,ROCKMART PD,GA,ROCKMART
4508,GA1150300,POLK COUNTY PD CEDARTOWN,GA,CEDARTOWN
4509,GA1150400,ARAGON PD,GA,ARAGON
4510,GA1160000,PULASKI CO SO HAWKINSVILLE,GA,HAWKINSVILLE
4511,GA1160100,HAWKINSVILLE,GA,HAWKINSVILLE
4512,GA1170000,PUTNAM CO SO EATONTON,GA,EATONTON
4513,GA1170100,EATONTON PD,GA,EATONTON
4514,GA1180000,QUITMAN CO SO GEORGETOWN,GA,GEORGETOWN
4515,GA1180100,GEORGETOWN PD,GA,GEORGETOWN
4516,GA1190000,RABUN CO SO CLAYTON,GA,CLAYTON
4517,GA1190100,CLAYTON PD,GA,CLAYTON
4518,GA1190200,MOUNTAIN CITY PD,GA,MOUNTAIN CITY
4519,GA1190300,TALLULAH FALLS PD,GA,TALLULAH FALLS
4520,GA1190400,DILLARD PD,GA,DILLARD
4521,GA1190500,SKY VALLEY PD SKY VALLEY,GA,DILLARD
4522,GA1200000,RANDOLPH CO SO CUTHBERT,GA,CUTHBERT
4523,GA1200100,CUTHBERT PD,GA,CUTHBERT
4524,GA1200200,SHELLMAN PD,GA,SHELLMAN
4525,GA120059E,ANDREW COLLEGE CAMPUS POLICE DEPARTMENT,GA,
4526,GA1210000,RICHMOND CO SO AUGUSTA,GA,AUGUSTA
4527,GA1210100,AUGUSTA PD,GA,AUGUSTA
4528,GA1210200,RICHMOND COUNTY PD AUGUSTA,GA,AUGUSTA
4529,GA1210300,HEPHZIBAH PD,GA,HEPHZIBAH
4530,GA1210400,MEDICAL COLLEGE OF GEORGIA PUBLIC SAFETY,GA,AUGUSTA
4531,GA1210500,AUGUSTA STATE UNVIERSITY POLICE DEPARTMENT,GA,AUGUSTA
4532,GA1210600,COUNTY BOARD OF EDUCATION DPS AUGUSTA,GA,AUGUSTA
4533,GA1210700,COUNTY MARSHALL'S OFFICE AUGUSTA,GA,AUGUSTA
4534,GA1210800,CITY OF BLYTHE POLICE DEPARTMENT BLYTHE,GA,BLYTHE
4535,GA121159E,PAINE COLLEGE POLICE DEPARTMENT,GA,
4536,GA1212100,AUGUSTA TECHNICAL COLLEG,GA,AUGUSTA
4537,GA1220000,ROCKDALE CO SO CONYERS,GA,CONYERS
4538,GA1220100,CONYERS PD,GA,CONYERS
4539,GA1230000,SCHLEY CO SO ELLAVILLE,GA,ELLAVILLE
4540,GA1230100,ELLAVILLE PD,GA,ELLAVILLE
4541,GA1240000,SCREVEN CO SO SYLVANIA,GA,SYLVANIA
4542,GA1240100,SYLVANIA PD,GA,SYLVANIA
4543,GA1240200,HILLTONIA PD,GA,SYLVANIA
4544,GA1240300,NEWINGTON,GA,NEWINGTON
4545,GA1240400,OLIVER POLICE DEPARTMENT,GA,OLIVER
4546,GA1250000,SEMINOLE CO SO DONALSONVILLE,GA,DONALSONVILLE
4547,GA1250100,DONALSONVILLE PD,GA,DONALSONVILLE
4548,GA1260000,SPALDING CO SO GRIFFIN,GA,GRIFFIN
4549,GA1260100,GRIFFIN PD,GA,GRIFFIN
4550,GA1260400,SOUTHERN CRESCENT TECHNICAL COLLEGE POLICE,GA,GRIFFIN
4551,GA1270000,STEPHENS CO SO TOCCOA,GA,TOCCOA
4552,GA1270100,TOCCOA PD,GA,TOCCOA
4553,GA1280000,STEWART CO SO LUMPKIN,GA,LUMPKIN
4554,GA1280100,LUMPKIN PD,GA,LUMPKIN
4555,GA1280200,RICHLAND PD,GA,RICHLAND
4556,GA1280300,OMAHA PD,GA,LUMPKIN
4557,GA1290000,SUMTER CO SO AMERICUS,GA,AMERICUS
4558,GA1290100,AMERICUS PD,GA,AMERICUS
4559,GA1290200,LESLIE PD,GA,LESLIE
4560,GA1290300,PLAINS,GA,PLAINS
4561,GA1290400,GA SOUTHWESTERN STATE UNIV SECURITY PD,GA,AMERICUS
4562,GA1300000,TALBOT CO SO TALBOTTON,GA,TALBOTTON
4563,GA1300100,TALBOTTON PD,GA,TALBOTTON
4564,GA1300200,WOODLAND,GA,WOODLAND
4565,GA1310000,TALIAFERRO CO SO CRAWFORDVILLE,GA,CRAWFORDVILLE
4566,GA1310100,CRAWFORDVILLE PD,GA,CRAWFORDVILLE
4567,GA1310200,COUNTY PD CRAWFORDVILLE,GA,CRAWFORDVILLE
4568,GA1320000,TATTNALL CO SO REIDSVILLE,GA,REIDSVILLE
4569,GA1320100,GLENNVILLE PD,GA,GLENNVILLE
4570,GA1320200,REIDSVILLE PD,GA,REIDSVILLE
4571,GA1320300,COBBTOWN PD,GA,COBBTOWN
4572,GA1320400,COLLINS PD,GA,COLLINS
4573,GA1330000,TAYLOR CO SO BUTLER,GA,BUTLER
4574,GA1330100,BUTLER PD,GA,BUTLER
4575,GA1330200,REYNOLDS PD,GA,REYNOLDS
4576,GA1340000,TELFAIR CO SO MC RAE,GA,MCRAE
4577,GA1340100,MC RAE PD,GA,MCRAE
4578,GA1340200,HELENA PD,GA,HELENA
4579,GA1340300,LUMBER CITY PD,GA,LUMBER CITY
4580,GA1340400,MILAN PD,GA,MILAN
4581,GA1340600,JACKSONVILLE POLICE DEPARTMENT,GA,JACKSONVILLE
4582,GA1350000,TERRELL CO SO DAWSON,GA,DAWSON
4583,GA1350100,DAWSON PD,GA,DAWSON
4584,GA1350200,BRONWOOD PD,GA,BRONWOOD
4585,GA1360000,THOMAS CO SO THOMASVILLE,GA,THOMASVILLE
4586,GA1360100,THOMASVILLE PD,GA,THOMASVILLE
4587,GA1360200,BOSTON PD,GA,BOSTON
4588,GA1360300,COOLIDGE PD,GA,COOLIDGE
4589,GA1360400,MEIGS PD,GA,MEIGS
4590,GA1360500,OCHLOCKNEE POLICE DEPARTMENT,GA,OCHLOCKNEE
4591,GA1360600,PAVO,GA,PAVO
4592,GA1360700,BARWICK PD,GA,BARWICK
4593,GA1361100,,GA,
4594,GA1370000,TIFT CO SO TIFTON,GA,TIFTON
4595,GA1370100,TIFTON PD,GA,TIFTON
4596,GA1370200,OMEGA PD,GA,OMEGA
4597,GA1370300,TY TY PD,GA,TIFTON
4598,GA1370400,BALDWIN AGRICULTURAL COLL SECURITY DEPT TIFTON,GA,TIFTON
4599,GA1380000,TOOMBS CO SO LYONS,GA,LYONS
4600,GA1380100,LYONS,GA,LYONS
4601,GA1380200,VIDALIA PD,GA,VIDALIA
4602,GA1390000,TOWNS CO SO HIAWASSEE,GA,YOUNG HARRIS
4603,GA1390100,HIAWASSEE PD,GA,HIAWASSEE
4604,GA1390200,YOUNG HARRIS PD,GA,YOUNG HARRIS
4605,GA139039E,YOUNG HARRIS COLLEGE DEPT OF PUBLIC SAFETY,GA,
4606,GA1400000,TREUTLEN CO SO SOPERTON,GA,SOPERTON
4607,GA1400100,SOPERTON,GA,SOPERTON
4608,GA1410000,TROUP CO SO LA GRANGE,GA,LAGRANGE
4609,GA1410100,HOGANSVILLE PD,GA,HOGANSVILLE
4610,GA1410200,LA GRANGE PD,GA,LAGRANGE
4611,GA1410300,WEST POINT PD,GA,WEST POINT
4612,GA1410400,TROUP COUNTY MARSHAL'S OFFICE LAGRANGE,GA,LAGRANGE
4613,GA1420000,TURNER CO SO ASHBURN,GA,ASHBURN
4614,GA1420100,ASHBURN PD,GA,ASHBURN
4615,GA1420200,SYCAMORE PD,GA,SYCAMORE
4616,GA1420300,,GA,
4617,GA1430000,TWIGGS CO SO JEFFERSONVILLE,GA,JEFFERSONVILLE
4618,GA1430100,JEFFERSONVILLE,GA,JEFFERSONVILLE
4619,GA1430200,DANVILLE PD,GA,DANVILLE
4620,GA1430300,GA DEPT NATURAL RESOURCES LE DIST OFF DRY BRANCH,GA,MACON
4621,GA1430400,CAMPUS POLICE DEPARTMENT,GA,JEFFERSONVILLE
4622,GA1440000,UNION CO SO BLAIRSVILLE,GA,BLAIRSVILLE
4623,GA1440100,BLAIRSVILLE PD,GA,BLAIRSVILLE
4624,GA1450000,UPSON CO SO THOMASTON,GA,THOMASTON
4625,GA1450100,THOMASTON PD,GA,THOMASTON
4626,GA1460000,WALKER CO SO LAFAYETTE,GA,LAFAYETTE
4627,GA1460100,LAFAYETTE PD,GA,LAFAYETTE
4628,GA1460200,ROSSVILLE PD,GA,ROSSVILLE
4629,GA1460300,LOOKOUT MOUNTAIN PD,GA,LOOKOUT MOUNTAIN
4630,GA1460400,CHICKAMAUGA PD,GA,CHICKAMAUGA
4631,GA1460500,LINWOOD PD,GA,LAFAYETTE
4632,GA1460600,WALKER COUNTY POLICE FORCE LAFAYETTE,GA,LAFAYETTE
4633,GA1470000,WALTON CO SO MONROE,GA,MONROE
4634,GA1470100,MONROE PD,GA,MONROE
4635,GA1470200,LOGANVILLE PD,GA,LOGANVILLE
4636,GA1470300,SOCIAL CIRCLE POLICE DEPARTMENT,GA,MONROE
4637,GA1470400,GA DEPT NATURAL RESOURCES LE DIST OFF SOCIAL CIRCLE,GA,SOCIAL CIRCLE
4638,GA1480000,WARE CO SO WAYCROSS,GA,WAYCROSS
4639,GA1480100,WAYCROSS PD,GA,WAYCROSS
4640,GA1480200,WARE COUNTY WAYCROSS,GA,WAYCROSS
4641,GA1480400,SE GEORGIA DRUG TASK FORCE WAYCROSS,GA,ALMA
4642,GA1490000,WARREN CO SO WARRENTON,GA,WARRENTON
4643,GA1490100,WARRENTON PD,GA,WARRENTON
4644,GA1490200,WARREN CO PD WARRENTON,GA,WARRENTON
4645,GA1500000,WASHINGTON CO SO SANDERSVILLE,GA,SANDERSVILLE
4646,GA1500100,SANDERSVILLE PD,GA,SANDERSVILLE
4647,GA1500200,TENNILLE PD,GA,TENNILLE
4648,GA1500300,DAVISBORO PD,GA,DAVISBORO
4649,GA1500400,HARRISON,GA,HARRISON
4650,GA1500500,OCONEE POLICE DEPARTMENT OCONEE,GA,OCONEE
4651,GA1500600,WASHINGTON COUNTY BOARD OF EDUCATION,GA,SANDERSVILLE
4652,GA1510000,WAYNE CO SO JESUP,GA,JESUP
4653,GA1510100,JESUP PD,GA,JESUP
4654,GA1510200,SCREVEN PD,GA,SCREVEN
4655,GA1510300,ODUM PD,GA,ODUM
4656,GA1520000,WEBSTER CO SO PRESTON,GA,PRESTON
4657,GA1520100,PRESTON PD,GA,PRESTON
4658,GA1530000,WHEELER CO SO ALAMO,GA,ALAMO
4659,GA1530100,ALAMO PD,GA,ALAMO
4660,GA1530200,GLENWOOD PD,GA,GLENWOOD
4661,GA1540000,WHITE CO SO CLEVELAND,GA,CLEVELAND
4662,GA1540100,CLEVELAND PD,GA,CLEVELAND
4663,GA1540200,HELEN PD,GA,HELEN
4664,GA1550000,WHITFIELD CO SO DALTON,GA,DALTON
4665,GA1550100,DALTON PD,GA,DALTON
4666,GA1550200,TUNNEL HILL PD,GA,TUNNEL HILL
4667,GA1550300,COHUTTA,GA,COHUTTA
4668,GA1550500,DALTON COLLEGE SECURITY POLICE DALTON,GA,DALTON
4669,GA1550600,VARNELL POLICE DEPARTMENT VARNELL,GA,VARNELL
4670,GA1550700,DALTON-WHITFIELD HOSPITAL AUTH DPS DALTON,GA,DALTON
4671,GA1560000,WILCOX CO SO ABBEVILLE,GA,ABBEVILLE
4672,GA1560100,ABBEVILLE PD,GA,ABBEVILLE
4673,GA1560200,ROCHELLE,GA,ROCHELLE
4674,GA1560300,PINEVIEW PD,GA,PINEVIEW
4675,GA1570000,WILKES CO SO WASHINGTON,GA,WASHINGTON
4676,GA1570100,WASHINGTON PD,GA,WASHINGTON
4677,GA1570200,TIGNALL PD,GA,TIGNALL
4678,GA1580000,WILKINSON CO SO IRWINTON,GA,IRWINTON
4679,GA1580100,GORDON PD,GA,GORDON
4680,GA1580200,IRWINTON PD,GA,IRWINTON
4681,GA1580300,MCINTYRE PD,GA,MCINTYRE
4682,GA1580400,TOOMSBORO PD,GA,TOOMSBORO
4683,GA1580500,IVEY PD,GA,IVEY
4684,GA1580600,WILKINSON CO BOARD OF ED CAMPUS POLICE,GA,MCINTYRE
4685,GA1590000,WORTH CO SO SYLVESTER,GA,SYLVESTER
4686,GA1590100,SYLVESTER PD,GA,SYLVESTER
4687,GA1590200,POULAN,GA,POULAN
4688,GA1590300,WARWICK PD,GA,WARWICK
4689,GA1590400,SUMNER POLICE DEPARTMENT SUMNER,GA,SUMNER
4690,GAAPD0000,ATLANTA POLICE DEPARTMENT,GA,ATLANTA
4691,GAATF0200,,FS,
4692,GAATF0400,,FS,
4693,GAATF0600,,FS,
4694,GAATFAT00,,FS,
4695,GACBP0000,,GA,
4696,GADEA0100,"DEA, ATLANTA",GA,
4697,GADI00100,ANDERSONVILLE NHS,GA,
4698,GADI00200,CHICK CHATT NMP,GA,
4699,GADI00300,FORT FREDERICA NM,GA,
4700,GADI00400,FORT PULASKI NM,GA,
4701,GADI00500,KENNESAW MOUNTAIN NBP,GA,
4702,GADI00600,OCMULGEE NM,GA,
4703,GADI00700,CUMBERLAND ISLAND NS,GA,
4704,GADOA0100,U.S. FOREST SERVICE,GA,
4705,GAFBIAT00,,FS,
4706,GAGB11200,GEORGIA B I DIV DUBLIN,GA,
4707,GAGB11300,GEORGIA B I DIV PERRY,GA,
4708,GAGB11400,GA BI DIVISION ATHENS,GA,
4709,GAGB11700,GA B I DIVISION CONYERS,GA,
4710,GAGBI0000,GBI HEADQUARTERS ATLANTA,GA,CALHOUN
4711,GAGBI0100,GBI INVESTIGATIVE DIVISION AMERICUS,GA,AMERICUS
4712,GAGBI0200,GBI INVESTIGATIVE DIVISION CALHOUN,GA,CALHOUN
4713,GAGBI0300,GBI INVESTIGATIVE DIVISION DOUGLAS,GA,DOUGLAS
4714,GAGBI0400,GBI INVESTIGATIVE DIVISION GAINESVILLE,GA,GAINESVILLE
4715,GAGBI0500,GBI INVESTIGATIVE DIVISION MILLEDGEVILLE,GA,MILLEDGEVILLE
4716,GAGBI0600,GBI INVESTIGATIVE DIVISION STATESBORO,GA,STATESBORO
4717,GAGBI0700,GBI REGION 2 GREENVILLE,GA,GREENVILLE
4718,GAGBI0800,GBI INVESTIGATIVE DIVISION THOMSON,GA,THOMSON
4719,GAGBI1100,GBI INVESTIGATIVE DIVISION THOMASVILLE,GA,THOMASVILLE
4720,GAGBI1200,GBI INVESTIGATIVE DIVISION DUBLIN,GA,EASTMAN
4721,GAGBI1300,GBI INVESTIGATIVE DIVISION PERRY,GA,PERRY
4722,GAGBI1400,GBI INVESTIGATIVE DIVISION ATHENS,GA,ATHENS
4723,GAGBI1500,GBI INVESTIGATIVE DIVISION SAVANNAH,GA,SAVANNAH
4724,GAGBI1600,GBI INVESTIGATIVE DIVISION ALBANY,GA,SLYVESTER
4725,GAGBI1700,GA BUR OF INVEST INVESTIGATIVE DIV CONYERS,GA,CONYERS
4726,GAGBI1800,GBI REG DRUG ENFORCEMENT OFF GAINESVILLE,GA,GAINESVILLE
4727,GAGBI2000,GBI INVESTIGATIVE DIVISION KINGSLAND,GA,KINGSLAND
4728,GAGSP0000,SP HDQ ATLANTA,GA,ATLANTA
4729,GAGSP0100,SP GRIFFIN,GA,GRIFFIN
4730,GAGSP0200,SP LAGRANGE,GA,LA GRANGE
4731,GAGSP0300,SP CARTERSVILLE,GA,CARTERSVILLE
4732,GAGSP0400,SP VILLA RICA,GA,VILLA RICA
4733,GAGSP0500,SP DALTON,GA,DALTON
4734,GAGSP0600,SP GAINESVILLE,GA,GAINESVILLE
4735,GAGSP0700,SP TOCCOA,GA,TOCCOA
4736,GAGSP0800,SP MADISON,GA,MADISON
4737,GAGSP0900,SP MARIETTA,GA,KENNESAW
4738,GAGSP1000,SP AMERICUS,GA,AMERICUS
4739,GAGSP1100,SP HINESVILLE,GA,HINESVILLE
4740,GAGSP1200,SP THOMASVILLE,GA,THOMASVILLE
4741,GAGSP1300,SP TIFTON,GA,TIFTON
4742,GAGSP1400,SP DONALSONVILLE,GA,DONALSONVILLE
4743,GAGSP1500,SP PERRY,GA,PERRY
4744,GAGSP1600,SP HELENA,GA,HELENA
4745,GAGSP1700,SP WASHINGTON,GA,WASHINGTON
4746,GAGSP1800,SP REIDSVILLE,GA,REIDSVILLE
4747,GAGSP1900,SP SWAINSBORO,GA,SWAINSBORO
4748,GAGSP2000,SP DUBLIN,GA,DUBLIN
4749,GAGSP2100,SP SYLVANIA,GA,SYLVANIA
4750,GAGSP2200,SP WAYCROSS,GA,WAYCROSS
4751,GAGSP2300,SP BRUNSWICK,GA,BRUNSWICK
4752,GAGSP2400,SP NEWNAN,GA,NEWNAN
4753,GAGSP2500,SP THOMSON,GA,THOMSON
4754,GAGSP2600,SP THOMASTON,GA,THOMASTON
4755,GAGSP2700,SP BLUE RIDGE,GA,BLUE RIDGE
4756,GAGSP2800,JASPER STATE POLICE,GA,CANTON
4757,GAGSP2900,SP CEDARTOWN,GA,CEDARTOWN
4758,GAGSP3000,SP CORDELE,GA,CORDELE
4759,GAGSP3100,SP VALDOSTA,GA,VALDOSTA
4760,GAGSP3200,SP ATHENS,GA,ATHENS
4761,GAGSP3300,SP MILLEDGEVILLE,GA,MILLEDGEVILLE
4762,GAGSP3400,SP MANCHESTER,GA,MANCHESTER
4763,GAGSP3500,SP JEKYLL ISLAND,GA,JEKYLL ISLAND
4764,GAGSP3600,SP DOUGLAS,GA,DOUGLAS
4765,GAGSP3700,GA STATE PATROL CUMMING,GA,LAWRENCEVILL
4766,GAGSP3800,SP ROME,GA,ROME
4767,GAGSP3900,SP CUTHBERT,GA,CUTHBERT
4768,GAGSP4000,SP ALBANY,GA,ALBANY
4769,GAGSP4100,SP LAFAYETTE,GA,LAFAYETTE
4770,GAGSP4200,RINCON STATE PATROL,GA,RINCON
4771,GAGSP4300,SP CALHOUN,GA,CALHOUN
4772,GAGSP4400,SP FORSYTH,GA,FORSYTH
4773,GAGSP4500,SP STATESBORO,GA,STATESBORO
4774,GAGSP4600,SP CONYERS,GA,CONYERS
4775,GAGSP4700,SP HAPEVILLE,GA,FOREST PARK
4776,GAGSP4800,SP METRO TRAFFIC ENFORCEMENT UNIT ATLANTA,GA,KENNESAW
4777,GAGSPH300,GSP HIGHWAY SUPP DIV THOMASTON,GA,THOMASTON
4778,GAINSAT00,"IMMIGRATION & CUSTOMS ENFORCEMENT, ATLANTA",GA,
4779,GAUSMO400,US MARSHALS SERVICE AUGUSTA,FS,AUGUSTA
4780,GM0010000,GUAM POLICE DEPARTMENT,GM,
4781,GM0010100,"GUAM PD, AGANA",GM,
4782,GMATF0100,,FS,
4783,GMDEA0100,,GM,
4784,GMTGM0000,GOVERNMENT OF GUAM DEPT OF PUBLIC SAFETY AGANA,GM,AGANA
4785,HI0010000,HAWAII COUNTY POLICE DEPARTMENT HILO,HI,HILO
4786,HI0010100,HAWAII COUNTY POLICE DEPARTMENT HILO,HI,HILO
4787,HI0020000,HONOLULU POLICE DEPARTMENT HONOLULU,HI,HONOLULU
4788,HI0020400,"DEPARTMENT OF PUBLIC SAFETY, SHERIFF DIVISION",HI,
4789,HI0020A00,HONOLULU COUNTY RURAL,HI,HI
4790,HI0040000,KAUAI COUNTY PD LIHUE KAUAI,HI,LIHUE
4791,HI0040100,KAPAA PD,HI,KAPAA
4792,HI0040200,LIHUE PD,HI,LIHUE
4793,HI0050000,MAUI COUNTY POLICE DEPARTMENT WAILUKU,HI,WAILUKU
4794,HI0050100,KAHULUI PD,HI,KAHULUI
4795,HI0050200,LAHAINA PD,HI,LAHAINA
4796,HI0050300,LANAI CITY PD,HI,LANAI CITY
4797,HI0050400,PAIA PD,HI,PAIA
4798,HI0050500,WAILUKU PD,HI,WAILUKU
4799,HI0050600,PUUNENE PD,HI,PUUNENE
4800,HIATF0200,,FS,
4801,HIDEA0100,"DEA, HONOLULU",HI,
4802,HIDI00000,HAWAII VOLCANOES NP,HI,
4803,HIDI00100,CITY OF REFUGE NHP,HI,
4804,HIDI00200,HALEAKALA NP,HI,
4805,HIDOD0100,"DEPT OF DEFENSE, HONOLULU",HI,
4806,HIFBIHN00,,FS,
4807,IA0010000,ADAIR CO SO GREENFIELD,IA,GREENFIELD
4808,IA0020000,ADAMS CO SO CORNING,IA,CORNING
4809,IA0030000,ALLAMAKEE CO SO WAUKON,IA,WAUKON
4810,IA0030100,WAUKON PD,IA,WAUKON
4811,IA0030400,,IA,
4812,IA0030500,,IA,
